Date,Actual,Forecast
2022-03-30,174.70632934570312,168.65826
2022-03-31,171.6007843017578,170.61784
2022-04-01,171.30596923828125,171.82483
2022-04-04,175.3647918701172,172.43315
2022-04-05,172.0430145263672,173.02142
2022-04-06,168.86871337890625,173.12715
2022-04-07,169.17335510253906,172.6156
2022-04-08,167.15869140625,171.8266
2022-04-11,162.89349365234375,170.71303
2022-04-12,164.77059936523438,169.072
2022-04-13,167.4633331298828,167.50087
2022-04-14,162.44142150878906,166.37956
2022-04-18,162.2252197265625,165.09406
2022-04-19,164.51504516601562,163.87279
2022-04-20,164.34796142578125,163.05428
2022-04-21,163.5519561767578,162.52893
2022-04-22,159.001708984375,162.1667
2022-04-25,160.0729522705078,161.48619
2022-04-26,154.09774780273438,160.83904
2022-04-27,153.87168884277344,159.64334
2022-04-28,160.81985473632812,158.26248
2022-04-29,154.9330596923828,157.61584
2022-05-02,155.23773193359375,156.81096
2022-05-03,156.73155212402344,156.09055
2022-05-04,163.1588592529297,155.64742
2022-05-05,154.06822204589844,156.07195
2022-05-06,154.7965545654297,156.00473
2022-05-09,149.65895080566406,155.81688
2022-05-10,152.07028198242188,155.03113
2022-05-11,144.18673706054688,154.24261
2022-05-12,140.30897521972656,152.68579
2022-05-13,144.78712463378906,150.4791
2022-05-16,143.24192810058594,148.56264
2022-05-17,146.88351440429688,146.79918
2022-05-18,138.59646606445312,145.68839
2022-05-19,135.1812744140625,144.22615
2022-05-20,135.41748046875,142.42883
2022-05-23,140.85031127929688,140.64482
2022-05-24,138.14369201660156,139.5733
2022-05-25,138.3011932373047,138.73158
2022-05-26,141.5096893310547,138.1672
2022-05-27,147.27720642089844,138.15681
2022-05-31,146.4897918701172,139.05212
2022-06-01,146.36187744140625,140.31891
2022-06-02,148.82241821289062,141.71234
2022-06-03,143.08445739746094,143.31119
2022-06-06,143.8324737548828,144.28769
2022-06-07,146.36187744140625,144.90594
2022-06-08,145.62371826171875,145.47739
2022-06-09,140.38771057128906,145.85808
2022-06-10,134.96470642089844,145.5551
2022-06-13,129.79762268066406,144.34589
2022-06-14,130.66372680664062,142.19992
2022-06-15,133.29156494140625,139.78824
2022-06-16,128.00633239746094,137.67421
2022-06-17,129.48268127441406,135.39076
2022-06-21,133.72459411621094,133.41393
2022-06-22,133.21282958984375,132.2191
2022-06-23,136.08670043945312,131.54744
2022-06-24,139.42320251464844,131.57079
2022-06-27,139.42320251464844,132.34888
2022-06-28,135.2698211669922,133.51941
2022-06-29,137.0315704345703,134.4319
2022-06-30,134.5612030029297,135.31146
2022-07-01,136.73631286621094,135.82286
2022-07-05,139.32476806640625,136.28816
2022-07-06,140.6632843017578,136.9143
2022-07-07,144.0391845703125,137.69444
2022-07-08,144.71824645996094,138.82877
2022-07-11,142.58251953125,140.12402
2022-07-12,143.556884765625,141.18428
2022-07-13,143.19273376464844,142.11407
2022-07-14,146.1256561279297,142.82251
2022-07-15,147.79884338378906,143.61841
2022-07-18,144.74777221679688,144.53192
2022-07-19,148.61570739746094,145.10834
2022-07-20,150.6234588623047,145.83769
2022-07-21,152.8970489501953,146.75668
2022-07-22,151.6569061279297,147.92108
2022-07-25,150.53492736816406,148.98415
2022-07-26,149.2062530517578,149.78098
2022-07-27,154.31430053710938,150.2051
2022-07-28,154.86546325683594,150.88266
2022-07-29,159.94398498535156,151.65498
2022-08-01,158.95974731445312,152.93115
2022-08-02,157.4834442138672,154.2544
2022-08-03,163.50682067871094,155.34366
2022-08-04,163.19189453125,156.81755
2022-08-05,162.96519470214844,158.29414
2022-08-08,162.4921112060547,159.61131
2022-08-09,162.5413818359375,160.65234
2022-08-10,166.79910278320312,161.42365
2022-08-11,166.05992126464844,162.38643
2022-08-12,169.61782836914062,163.24786
2022-08-15,170.69212341308594,164.34067
2022-08-16,170.53440856933594,165.54488
2022-08-17,172.03248596191406,166.67403
2022-08-18,171.63824462890625,167.8041
2022-08-19,169.0461883544922,168.76297
2022-08-22,165.15316772460938,169.24887
2022-08-23,164.8180694580078,169.00484
2022-08-24,165.1137237548828,168.32684
2022-08-25,167.57766723632812,167.4658
2022-08-26,161.2601318359375,166.82025
2022-08-29,159.05245971679688,165.68068
2022-08-30,156.6180419921875,164.18578
2022-08-31,154.95242309570312,162.38116
2022-09-01,155.6817626953125,160.40726
2022-09-02,153.56275939941406,158.6098
2022-09-06,152.3012237548828,156.87027
2022-09-07,153.7106170654297,155.2337
2022-09-08,152.23226928710938,153.98384
2022-09-09,155.1002655029297,152.93694
2022-09-12,161.07286071777344,152.43774
2022-09-13,151.62115478515625,152.92383
2022-09-14,153.06997680664062,152.96648
2022-09-15,150.17239379882812,152.98743
2022-09-16,148.52647399902344,152.67938
2022-09-19,152.25196838378906,152.05324
2022-09-20,154.6370391845703,151.6815
2022-09-21,151.5029296875,151.70894
2022-09-22,150.5370635986328,151.64531
2022-09-23,148.26036071777344,151.47035
2022-09-26,148.595458984375,151.01881
2022-09-27,149.57119750976562,150.49084
2022-09-28,147.67889404296875,150.05676
2022-09-29,140.42503356933594,149.51843
2022-09-30,136.2067413330078,148.24614
2022-10-03,140.39547729492188,146.27556
2022-10-04,143.9928436279297,144.50804
2022-10-05,144.28848266601562,143.34604
2022-10-06,143.3324737548828,142.67375
2022-10-07,138.06948852539062,142.28706
2022-10-10,138.39476013183594,141.60663
2022-10-11,136.97549438476562,140.892
2022-10-12,136.34474182128906,140.07346
2022-10-13,140.92767333984375,139.21443
2022-10-14,136.3841552734375,138.87334
2022-10-17,140.35606384277344,138.39635
