Date,Actual,Forecast
2023-01-03,123.47061157226562,128.34829449693973
2023-01-04,124.7441177368164,128.1953677718045
2023-01-05,123.42124938964844,128.0926676442284
2023-01-06,127.9624252319336,128.43067936988658
2023-01-09,128.48562622070312,128.2772143693123
2023-01-10,129.0582275390625,128.49073063598289
2023-01-11,131.78294372558594,128.41473149080926
2023-01-12,131.70396423339844,128.5671341229923
2023-01-13,133.0366973876953,128.5393481718893
2023-01-17,134.20162963867188,128.65371490419525
2023-01-18,133.48094177246094,128.65593587769754
2023-01-19,133.54019165039062,128.74662982909973
2023-01-20,136.10693359375,128.7675265103958
2023-01-23,139.3054962158203,128.8434869979512
2023-01-24,140.70733642578125,128.8760070650553
2023-01-25,140.04588317871094,128.94279774033527
2023-01-26,142.11904907226562,128.98255196954625
2023-01-27,144.0638427734375,129.04363553765575
2023-01-30,141.1713409423828,129.08789216421061
2023-01-31,142.44482421875,129.1454237433287
2023-02-01,143.5702362060547,129.19248257165108
2023-02-02,148.89132690429688,129.2478034640906
2023-02-03,152.52427673339844,129.29660632656768
2023-02-06,149.7896728515625,129.35055133197525
2023-02-07,152.67233276367188,129.40043964631664
2023-02-08,149.97723388671875,129.4535283272423
2023-02-09,148.940673828125,129.50409220504477
2023-02-10,149.3065185546875,129.55664792679482
2023-02-13,152.1144561767578,129.60763226174046
2023-02-14,151.4718017578125,129.65985628039329
2023-02-15,153.57778930664062,129.7111022994285
2023-02-16,151.97604370117188,129.76311987272913
2023-02-17,150.82913208007812,129.81452875869107
2023-02-21,146.8050537109375,129.8664178445468
2023-02-22,147.23019409179688,129.91792809561602
2023-02-23,147.71466064453125,129.96973721346407
2023-02-24,145.0550079345703,130.02131055214224
2023-02-27,146.2513885498047,130.07306989950686
2023-02-28,145.7471160888672,130.124682502647
2023-03-01,143.67080688476562,130.17641087386139
2023-03-02,144.2640380859375,130.22804791441482
2023-03-03,149.32627868652344,130.27975700669478
2023-03-06,152.09471130371094,130.3314092566039
2023-03-07,149.8898468017578,130.38310635006195
2023-03-08,151.14552307128906,130.4347680659689
2023-03-09,148.89125061035156,130.48645769160092
2023-03-10,146.8248291015625,130.53812529895498
2023-03-13,148.77261352539062,130.5898102767619
2023-03-14,150.8686981201172,130.64148155083444
2023-03-15,151.26419067382812,130.6931636359283
2023-03-16,154.09190368652344,130.74483719209283
2023-03-17,153.25152587890625,130.79651747682013
2023-03-20,155.62442016601562,130.84819245331295
2023-03-21,157.48324584960938,130.89987161752822
2023-03-22,156.04957580566406,130.95154747800484
2023-03-23,157.13717651367188,131.0032259448359
2023-03-24,158.44229125976562,131.05490235548632
2023-03-27,156.49452209472656,131.10658038827944
2023-03-28,155.87161254882812,131.15825714134698
2023-03-29,158.95643615722656,131.2099349040036
2023-03-30,160.5284881591797,131.2616118701847
2023-03-31,163.03981018066406,131.3132894647138
2023-04-03,164.29551696777344,131.36496656353248
2023-04-04,163.76161193847656,131.41664405342235
2023-04-05,161.9126739501953,131.46832123479203
2023-04-06,162.80252075195312,131.51999865955656
2023-04-10,160.2021942138672,131.5716758923043
2023-04-11,158.98606872558594,131.62335327653614
2023-04-12,158.29400634765625,131.67503054126058
2023-04-13,163.6923828125,131.72670790026567
2023-04-14,163.34634399414062,131.77838518489173
2023-04-17,163.3660888671875,131.83006252819618
2023-04-18,164.59210205078125,131.88173982520865
2023-04-19,165.73904418945312,131.93341715874138
2023-04-20,164.77008056640625,131.98509446346287
2023-04-21,163.15847778320312,132.03677179091383
2023-04-24,163.46495056152344,132.08844910043328
2023-04-25,161.92257690429688,132.1401264240991
2023-04-26,161.9126739501953,132.1918037366047
2023-04-27,166.51022338867188,132.24348105791472
2023-04-28,167.76588439941406,132.29515837227885
2023-05-01,167.6769256591797,132.34683569212265
2023-05-02,166.6387481689453,132.3985130076435
2023-05-03,165.56106567382812,132.45019032657476
2023-05-04,163.91976928710938,132.50186764281548
2023-05-05,171.6120147705078,132.5535449611788
2023-05-08,171.54281616210938,132.6052222778676
2023-05-09,169.8323516845703,132.65689959587743
2023-05-10,171.6021270751953,132.70857691284507
2023-05-11,171.7899932861328,132.76025423063493
2023-05-12,170.85931396484375,132.81193154777614
2023-05-15,170.36428833007812,132.86360886542906
2023-05-16,170.36428833007812,132.91528618267827
2023-05-17,170.97813415527344,132.96696350024598
2023-05-18,173.3147430419922,133.01864081756244
